tariff_code,tariff_country_description,material_composition,gender_name,customs_description,outsole_material,product_type
6404119001,Australia,"Upper:Textile Polyester 89%, Synthetic thermoplastic polyurethane  11%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6402999031,Australia,Upper: Plastic / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Low cut
6404119002,Australia,Upper: Textile / Sole: Rubber,Men,Shoes,Missiongrip Rubber,Low cut
6404119002,Australia,Upper: Textile / Sole: Rubber,Men,Shoes,Pebax,Low cut
6402999031,Australia,Upper: Plastic / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Mid Cut
6404119002,Australia,"Upper:Textile Polyester 56%, Synthetic thermoplastic polyurethane 44%. Sole: Rubber",Men,Low cut Shoes,Missiongrip Rubber,Low cut
6402999031,Australia,Upper: Plastic / Sole: Rubber,Men,Shoes,Missiongrip Rubber,Low cut
6404119002,Australia,Upper: Textile / Sole: Rubber,Men,Shoes,Missiongrip Rubber,High Cut
6404119002,Australia,"Upper:Textile Polyester 85%, Synthetic thermoplastic polyurethane  15%. Sole: Rubber",Men,Low cut Shoes,PA11 8% GF,Low cut
6402999031,Australia,Upper: Plastic / Sole: Rubber,Women,Shoes,Rubber,Low cut
6402999032,Australia,Upper: Plastic / Sole: Rubber,Men,Shoes,Missiongrip Rubber,Low cut
6404119001,Australia,"Upper:Textile Polyester 88%, Synthetic thermoplastic polyurethane  12%. Sole: Rubber",Women,Low cut Shoes,PA11 8% GF,Low cut
6404119002,Australia,Upper: Textile / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Low cut
6404119003,Australia,Upper: Textile / Sole: Rubber,Kids,Shoes,Missiongrip Rubber,Mid Cut
64041100,Brazil,Upper: Textile / Sole: Rubber,Men,Shoes,Rubber,Low cut
64029190,Brazil,Upper: Plastic / Sole: Rubber,Men,Shoes,Rubber,Mid Cut
64041100,Brazil,"Upper:Textile Polyester 72%, Synthetic thermoplastic polyurethane  28%. Sole: Rubber",Men,Low cut Shoes,Rubber,Low cut
64041100,Brazil,Upper: Textile / Sole: Rubber,Women,Cyclon Shoes,Pebax,Low cut
64029990,Brazil,Upper: Plastic / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Low cut
64041100,Brazil,Upper: Textile / Sole: Rubber,Youth,Shoes,Rubber,Low cut
64041100,Brazil,"Upper:Textile Polyester 71%, Synthetic thermoplastic polyurethane  29%. Sole: Rubber",Men,Low cut Shoes,Rubber,Low cut
64041100,Brazil,"Upper:Textile Polyester 72%, Synthetic thermoplastic polyurethane  28%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
64041100,Brazil,Upper: Textile / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Mid Cut
64041100,Brazil,Upper:Textile/ Sole: Rubber,Men,Low cut Shoes,PA11 8% GF,Low cut
64041100,Brazil,"Upper:Textile Polyester 71%, Synthetic thermoplastic polyurethane  29%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
64041100,Brazil,"Upper:Textile Polyester 52%, Synthetic thermoplastic polyurethane  48%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6404119921,Canada,Upper: Textile / Sole: Rubber,Men,Shoes,Missiongrip Rubber,Low cut
6402999093,Canada,Upper: Plastic / Sole: Rubber,Kids,Shoes,Rubber,Low cut
6404119921,Canada,Upper: Textile / Sole: Rubber,Men,Shoes,Pebax,Low cut
6404119922,Canada,Upper: Textile / Sole: Rubber,Kids,Shoes,Missiongrip Rubber,Mid Cut
6404119921,Canada,"Upper:Textile Polyester 72%, Synthetic thermoplastic polyurethane  28%. Sole: Rubber",Men,Low cut Shoes,Rubber,Low cut
6402999091,Canada,"Upper:Textile Polyester 33%, Synthetic thermoplastic polyurethane  67%. Sole: Rubber",Men,Shoes,Rubber,Low cut
6404119922,Canada,Upper: Textile / Sole: Rubber,Youth,Shoes,Rubber,Low cut
6402999092,Canada,"Upper:Textile Polyester 33%, Synthetic thermoplastic polyurethane  67%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6402999092,Canada,Upper: Synthetic thermoplastic polyurethane  100%. Sole: Rubber,Unisex,Low cut Shoes,Rubber,Low cut
